season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Equanimeous St. Brown,WR,CHI,8.27,2.6013928566531983,11.979090909090907,22.10386821887476,4,11,36.36363636363637,77,1,6.587499999999999,4.290001092211469,2.2974989077885297,00-0034279,Equanimeous,St. Brown,19,E.St. Brown
2022,REG,0,Drake London,WR,ATL,8.161562499999999,3.0257042114415644,10.367812500000001,33.00471538568671,18,32,56.25,231,2,4.921111111111111,3.845085967239468,1.076025143871643,00-0037238,Drake,London,5,D.London
2022,REG,0,Tyler Lockett,WR,SEA,8.141874999999999,3.78650761777544,11.569705882352944,37.53315649867374,27,34,79.41176470588235,302,0,1.5699999999999998,2.8929920730381102,-1.3229920730381104,00-0032211,Tyler,Lockett,16,T.Lockett
2022,REG,0,Chris Olave,WR,NO,7.967142857142858,2.7835577872509703,18.34722222222222,42.098755202590304,21,36,58.333333333333336,335,1,2.379047619047618,2.8247254328882416,-0.44567781384062366,00-0037239,Chris,Olave,12,C.Olave
2022,REG,0,Olamide Zaccheaus,WR,ATL,7.855555555555556,4.120343529599552,13.520999999999997,13.450786892421554,10,10,100,174,1,3.7600000000000007,3.4124881836859275,0.34751181631407313,00-0035208,Olamide,Zaccheaus,17,O.Zaccheaus
2022,REG,0,Russell Gage,WR,TB,7.800000000000001,4.162396588669389,4.4908,9.67394488772468,21,25,84,152,1,3.2180952380952372,4.764546648470701,-1.546451410375464,00-0034411,Russell,Gage,17,R.Gage
2022,REG,0,Kylen Granson,TE,IND,7.781818181818181,4.47958476740399,5.0200000000000005,7.408500590318773,11,15,73.33333333333333,105,0,5.02090909090909,5.443136690143934,-0.4222275992348443,00-0036876,Kylen,Granson,83,K.Granson
2022,REG,0,Trent Sherfield,WR,MIA,7.7188888888888885,3.230963589187465,10.033636363636361,9.352835001313482,8,11,72.72727272727273,77,0,2.038750000000002,2.246652689751037,-0.20790268975103476,00-0034487,Trent,Sherfield,14,T.Sherfield
2022,REG,0,Christian Watson,WR,GB,7.6899999999999995,4.073353104781355,8.232000000000001,10.719029141383889,6,10,60,51,0,8.246666666666664,6.321302512735599,1.9253641539310653,00-0038124,Christian,Watson,9,C.Watson
2022,REG,0,Kendrick Bourne,WR,NE,7.636666666666667,2.9944748066760973,13.046666666666667,14.785154405515154,9,12,75,138,0,2.7311111111111095,3.277727574542559,-0.5466164634314494,00-0033307,Kendrick,Bourne,84,K.Bourne
2022,REG,0,Mecole Hardman,WR,KC,7.575833333333333,2.6673938535713124,10.156666666666666,10.92036413160347,8,12,66.66666666666666,71,1,4.052500000000002,3.68032136101095,0.3721786389890518,00-0035140,Mecole,Hardman,17,M.Hardman
2022,REG,0,Romeo Doubs,WR,GB,7.5752173913043475,3.8275560932775767,6.440416666666667,20.126826219432793,19,24,79.16666666666666,184,2,6.671578947368421,5.438348677451341,1.2332302699170805,00-0037816,Romeo,Doubs,87,R.Doubs
2022,REG,0,Zay Jones,WR,JAX,7.489565217391304,2.8938873225156776,6.53375,16.506663298174697,19,24,79.16666666666666,173,1,4.96421052631579,3.6231587400421663,1.3410517862736233,00-0033891,Isaiah,Jones,7,Z.Jones
2022,REG,0,Kyle Philips,WR,TEN,7.454545454545454,3.0185782216236947,7.716363636363636,10.972362263760697,7,11,63.63636363636363,71,0,2.607142857142857,4.212683040748358,-1.6055401836055005,00-0037273,Kyle,Philips,18,K.Philips
2022,REG,0,Greg Dortch,WR,ARI,7.401304347826087,4.367684828964809,4.892083333333332,11.668074534161489,21,24,87.5,204,1,5.7061904761904785,4.477106795784726,1.2290836804057523,00-0035500,Greg,Dortch,83,G.Dortch
2022,REG,0,Curtis Samuel,WR,WAS,7.360967741935484,3.8061675930532486,4.305135135135136,11.741075706314634,26,37,70.27027027027027,219,2,5.115769230769231,4.8005755652705195,0.3151936654987111,00-0033282,Curtis,Samuel,10,C.Samuel
2022,REG,0,DeVonta Smith,WR,PHI,7.3476,2.542710265679509,12.43962962962963,35.27527464448505,18,27,66.66666666666666,266,1,4.767222222222222,3.128646383953385,1.6385758382688373,00-0036912,DeVonta,Smith,6,D.Smith
2022,REG,0,D.J. Moore,WR,CAR,7.299285714285714,2.8982277193470334,8.921034482758621,34.238109102458914,13,29,44.827586206896555,142,1,2.920769230769231,4.142397847217344,-1.2216286164481134,00-0034827,Denniston,Moore,2,D.Moore
2022,REG,0,Jauan Jennings,WR,SF,7.289285714285714,3.311089977209312,7.559333333333334,15.154431124119593,8,15,53.333333333333336,93,0,3.921249999999999,3.865947720312411,0.05530227968758794,00-0036259,Bennie,Jennings,15,J.Jennings
2022,REG,0,Chris Godwin,WR,TB,7.285833333333333,3.007850180824979,4.593846153846153,5.145880366036499,10,13,76.92307692307693,90,0,6.181000000000002,4.967059826559011,1.2139401734409905,00-0033921,Rod,Godwin,14,C.Godwin
2022,REG,0,T.J. Hockenson,TE,DET,7.2484,2.8456580667330282,7.602666666666666,17.081957145317965,18,30,60,261,3,8.07,3.833759949515139,4.236240050484861,00-0035229,Thomas,Hockenson,88,T.Hockenson
2022,REG,0,Amon-Ra St. Brown,WR,DET,7.244642857142857,3.0115828210567694,5.816060606060606,14.374517866103458,23,33,69.6969696969697,253,3,6.09304347826087,5.145863503129638,0.947179975131232,00-0036963,Amon-Ra,St. Brown,14,A.St. Brown
2022,REG,0,David Sills,WR,NYG,7.215999999999999,3.1057812622424352,8.986,13.332937667848718,6,10,60,62,0,2.6749999999999994,2.1755571035794596,0.49944289642053974,00-0035359,David,Sills,13,D.Sills
