player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2022,1,REG,18,27,212,1,1,2,17,0,0,305,87,9,1.05085355477425,0,0.695081967213115,0.0756322575381053,2,-1,0,0,0,0,-1.43716751458123,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10.38,10.38
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mee42twdk3qpcdotzdka",GB,2022,1,REG,22,34,195,0,1,4,33,1,1,190,134,9,-11.6275446414365,0,1.02631578947368,0.0127103545156337,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.7,3.7
00-0026143,M.Ryan,Matt Ryan,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",IND,2022,1,REG,32,50,352,1,1,2,12,2,0,317,172,20,3.00478438085117,0,1.11041009463722,0.0301933872063796,4,12,0,2,1,2,-4.4179510344984,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.28,15.28
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kygd4zisxpt6uwztrxhk",NYJ,2022,1,REG,37,59,307,1,1,3,12,0,0,286,137,18,-7.11041146392544,0,1.07342657342657,0.0134217352791803,1,0,0,0,0,0,-1.23062672500964,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,14.28,14.28
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eteieq8zzws1fbcgzbip",LA,2022,1,REG,29,41,240,1,3,7,49,1,0,239,124,14,-16.7483014564621,0,1.00418410041841,0.0229568279943579,1,2,0,0,0,1,0.15880790958181,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.8,7.8
00-0027942,A.Green,A.J. Green,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guj5a9vnnzqfiljupzuj",ARI,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,13,0,0,0,42,0,1,-2.83125655120239,0,0.30952380952381,0.111111111111111,0.157894736842105,0.27719298245614,0,1.3,3.3
00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pxrjunbln50toj2tmvbs",TB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,17,0,0,0,2,1.33296898548724,0,3,5,69,0,0,0,110,15,2,2.73006536544036,0,0.627272727272727,0.185185185185185,0.360655737704918,0.53023679417122,0,8.6,11.6
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",NO,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,22,0,0,0,2,2.26444705901668,0,1,1,1,0,1,1,-6,7,0,-4.83268591668457,0,-0.166666666666667,0.03125,-0.0201342281879195,0.0327810402684564,0,0.3,1.3
00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wphqc5wstbm0wji2bpxk",GB,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,14,0,0,0,55,4,2,0.889277842652518,0,0.254545454545455,0.0857142857142857,0.261904761904762,0.311904761904762,0,1.4,3.4
00-0029239,B.Bolden,Brandon Bolden,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pfjkzc83utqnmzjqe1wy",LV,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,7,0,0,0,0,-2.0711178110214,0,2,2,21,1,0,0,13,8,1,2.54309680486323,0,1.61538461538462,0.0571428571428571,0.0391566265060241,0.113123924268503,0,8.8,10.8
00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2022,1,REG,29,42,340,1,0,2,10,0,0,275,230,13,15.1618857017008,0,1.23636363636364,0.236981805265994,1,2,0,0,0,0,-0.432216548244469,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,17.8,17.8
00-0029293,M.Jones,Marvin Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xjvmodkuzq2euwtr7o85",JAX,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,38,0,0,0,101,3,3,2.28417011687998,0,0.376237623762376,0.157894736842105,0.275204359673025,0.429485157034275,0,3.8,7.8
00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h9ndf9ralxifgjvot2q4",MIN,2022,1,REG,23,32,277,2,0,1,8,0,0,164,152,12,9.27219855675757,0,1.6890243902439,0.154006327888641,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.08,19.08
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hknfdi8rwhtpgpmwlhcy",TEN,2022,1,REG,20,33,266,2,0,1,0,0,0,296,103,13,7.81907604918783,0,0.898648648648649,0.161178663482456,2,7,0,0,0,1,1.43725097016431,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.34,19.34
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yw3gzi3ijyn4yhnbvd5c",SF,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,7,0,0,-2.38486783113331,0,0,0.0769230769230769,0.0336538461538462,0.138942307692308,0,0,0
00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fuutugtpr0nikfvjwk67",MIN,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,36,0,0,0,27,12,2,0.497465591994114,0,1.33333333333333,0.129032258064516,0.166666666666667,0.310215053763441,0,3.6,6.6
00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u5sxvgvz0pujcgrsjenk",ARI,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,14,1,0,0,22,4,1,1.13585290452465,1,0.636363636363636,0.111111111111111,0.0827067669172932,0.224561403508772,0,9.4,11.4
00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmssb3pyiripkxwqmnqp",SEA,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,22,0,0,0,22,0,1,1.23339487586827,0,1,0.0740740740740741,0.162962962962963,0.225185185185185,0,2.2,4.2
00-0030108,R.Griffin,Ryan Griffin,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/izjfxtmk2dhzhrlwpt9g",CHI,2022,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,29,0,0,-1.03816040535457,0,0,0.117647058823529,0.179012345679012,0.301779230210603,0,0,0
